elo_diff,tournament,neutral,is_world_cup,match_result,date,year
-127.0,Friendly,False,False,home_win,1994-07-16,1994
8.0,FIFA World Cup,True,True,home_win,1994-07-16,1994
-54.0,FIFA World Cup,True,True,draw,1994-07-17,1994
204.0,Friendly,False,False,draw,1994-07-19,1994
105.0,Baltic Cup,False,False,home_win,1994-07-29,1994
-146.0,Baltic Cup,True,False,away_win,1994-07-30,1994
-41.0,Baltic Cup,False,False,home_win,1994-07-31,1994
147.0,Friendly,False,False,home_win,1994-08-08,1994
-181.0,Friendly,True,False,draw,1994-08-12,1994
311.0,Friendly,False,False,home_win,1994-08-16,1994
-210.0,Friendly,False,False,home_win,1994-08-16,1994
287.0,Friendly,False,False,draw,1994-08-16,1994
279.0,Friendly,False,False,home_win,1994-08-17,1994
-275.0,Friendly,False,False,away_win,1994-08-17,1994
-39.0,Friendly,False,False,home_win,1994-08-17,1994
453.0,Friendly,False,False,home_win,1994-08-17,1994
-317.0,Friendly,False,False,away_win,1994-08-17,1994
-169.0,Friendly,False,False,home_win,1994-08-19,1994
162.0,Friendly,False,False,home_win,1994-08-19,1994
162.0,Friendly,False,False,away_win,1994-08-21,1994
17.0,Friendly,False,False,draw,1994-08-23,1994
41.0,Friendly,False,False,home_win,1994-08-23,1994
169.0,Friendly,False,False,home_win,1994-08-24,1994
34.0,Friendly,True,False,home_win,1994-08-25,1994
169.0,Friendly,False,False,draw,1994-08-26,1994
75.0,Friendly,False,False,away_win,1994-08-27,1994
40.0,Friendly,False,False,home_win,1994-08-30,1994
-160.0,Friendly,False,False,home_win,1994-09-02,1994
375.0,African Cup of Nations qualification,False,False,draw,1994-09-03,1994
-204.0,African Cup of Nations qualification,False,False,home_win,1994-09-03,1994
-249.0,African Cup of Nations qualification,False,False,home_win,1994-09-04,1994
326.0,African Cup of Nations qualification,False,False,draw,1994-09-04,1994
-300.0,African Cup of Nations qualification,False,False,draw,1994-09-04,1994
-634.0,UEFA Euro qualification,False,False,away_win,1994-09-04,1994
232.0,African Cup of Nations qualification,False,False,home_win,1994-09-04,1994
-227.0,UEFA Euro qualification,False,False,home_win,1994-09-04,1994
-253.0,African Cup of Nations qualification,False,False,home_win,1994-09-04,1994
167.0,African Cup of Nations qualification,False,False,home_win,1994-09-04,1994
-271.0,African Cup of Nations qualification,False,False,draw,1994-09-04,1994
-253.0,Friendly,False,False,draw,1994-09-06,1994
289.0,Friendly,False,False,home_win,1994-09-06,1994
-247.0,UEFA Euro qualification,False,False,away_win,1994-09-07,1994
156.0,UEFA Euro qualification,False,False,draw,1994-09-07,1994
-166.0,UEFA Euro qualification,False,False,away_win,1994-09-07,1994
608.0,UEFA Euro qualification,False,False,home_win,1994-09-07,1994
339.0,Friendly,False,False,home_win,1994-09-07,1994
-508.0,UEFA Euro qualification,False,False,away_win,1994-09-07,1994
-488.0,UEFA Euro qualification,False,False,away_win,1994-09-07,1994
-416.0,UEFA Euro qualification,False,False,away_win,1994-09-07,1994
-114.0,Friendly,False,False,away_win,1994-09-07,1994
-230.0,UEFA Euro qualification,False,False,draw,1994-09-07,1994
332.0,UEFA Euro qualification,False,False,home_win,1994-09-07,1994
-779.0,UEFA Euro qualification,False,False,away_win,1994-09-07,1994
253.0,UEFA Euro qualification,False,False,home_win,1994-09-07,1994
-122.0,UEFA Euro qualification,False,False,away_win,1994-09-07,1994
-126.0,Friendly,True,False,away_win,1994-09-12,1994
-62.0,Friendly,True,False,away_win,1994-09-14,1994
232.0,Friendly,False,False,home_win,1994-09-16,1994
-62.0,Friendly,True,False,away_win,1994-09-18,1994
224.0,Friendly,False,False,draw,1994-09-19,1994
63.0,Friendly,False,False,away_win,1994-09-21,1994
39.0,Friendly,False,False,draw,1994-09-21,1994
-241.0,Friendly,False,False,away_win,1994-09-22,1994
221.0,Friendly,True,False,draw,1994-09-24,1994
-34.0,Friendly,False,False,home_win,1994-09-25,1994
-123.0,Friendly,False,False,draw,1994-09-27,1994
-154.0,Asian Games,True,False,away_win,1994-10-01,1994
32.0,Asian Games,True,False,draw,1994-10-01,1994
-110.0,Asian Games,True,False,away_win,1994-10-01,1994
834.0,Asian Games,True,False,home_win,1994-10-01,1994
-31.0,Asian Games,True,False,home_win,1994-10-01,1994
577.0,Asian Games,True,False,home_win,1994-10-03,1994
310.0,Asian Games,True,False,draw,1994-10-03,1994
226.0,Asian Games,True,False,home_win,1994-10-03,1994
279.0,Asian Games,True,False,draw,1994-10-03,1994
394.0,Asian Games,True,False,home_win,1994-10-03,1994
73.0,Asian Games,True,False,away_win,1994-10-03,1994
65.0,Asian Games,False,False,draw,1994-10-03,1994
131.0,Asian Games,True,False,draw,1994-10-05,1994
-116.0,Asian Games,True,False,away_win,1994-10-05,1994
-363.0,Asian Games,True,False,away_win,1994-10-05,1994
-136.0,Asian Games,True,False,away_win,1994-10-05,1994
106.0,Asian Games,False,False,draw,1994-10-05,1994
-351.0,Asian Games,True,False,away_win,1994-10-05,1994
163.0,Asian Games,True,False,away_win,1994-10-07,1994
-258.0,Asian Games,True,False,away_win,1994-10-07,1994
-290.0,Asian Games,True,False,away_win,1994-10-07,1994
-240.0,Asian Games,True,False,away_win,1994-10-07,1994
257.0,Asian Games,True,False,away_win,1994-10-07,1994
-72.0,UEFA Euro qualification,False,False,draw,1994-10-08,1994
-729.0,UEFA Euro qualification,False,False,away_win,1994-10-08,1994
71.0,UEFA Euro qualification,False,False,draw,1994-10-08,1994
330.0,Asian Games,True,False,home_win,1994-10-09,1994
-387.0,UEFA Euro qualification,False,False,away_win,1994-10-09,1994
145.0,Friendly,False,False,home_win,1994-10-09,1994
233.0,Friendly,False,False,home_win,1994-10-09,1994
-182.0,Asian Games,True,False,draw,1994-10-09,1994
416.0,Asian Games,False,False,home_win,1994-10-09,1994
-385.0,Asian Games,True,False,away_win,1994-10-09,1994
96.0,Asian Games,True,False,draw,1994-10-09,1994
41.0,Asian Games,True,False,draw,1994-10-09,1994
529.0,UEFA Euro qualification,False,False,home_win,1994-10-09,1994
16.0,Asian Games,True,False,home_win,1994-10-11,1994
-101.0,Asian Games,True,False,home_win,1994-10-11,1994
-62.0,Asian Games,False,False,away_win,1994-10-11,1994
167.0,Asian Games,True,False,home_win,1994-10-11,1994
-94.0,UEFA Euro qualification,False,False,draw,1994-10-12,1994
-58.0,UEFA Euro qualification,False,False,away_win,1994-10-12,1994
222.0,UEFA Euro qualification,False,False,home_win,1994-10-12,1994
41.0,UEFA Euro qualification,False,False,home_win,1994-10-12,1994
117.0,Friendly,False,False,draw,1994-10-12,1994
46.0,UEFA Euro qualification,False,False,home_win,1994-10-12,1994
-272.0,Friendly,False,False,draw,1994-10-12,1994
-198.0,UEFA Euro qualification,False,False,draw,1994-10-12,1994
227.0,UEFA Euro qualification,False,False,home_win,1994-10-12,1994
868.0,UEFA Euro qualification,False,False,home_win,1994-10-12,1994
536.0,UEFA Euro qualification,False,False,home_win,1994-10-12,1994
2.0,UEFA Euro qualification,False,False,home_win,1994-10-12,1994
3.0,UEFA Euro qualification,False,False,home_win,1994-10-12,1994
25.0,Asian Games,True,False,home_win,1994-10-13,1994
59.0,Asian Games,True,False,home_win,1994-10-13,1994
346.0,African Cup of Nations qualification,False,False,draw,1994-10-14,1994
363.0,African Cup of Nations qualification,False,False,home_win,1994-10-14,1994
-159.0,African Cup of Nations qualification,False,False,home_win,1994-10-15,1994
66.0,African Cup of Nations qualification,False,False,home_win,1994-10-15,1994
-111.0,Asian Games,True,False,home_win,1994-10-15,1994
-41.0,African Cup of Nations qualification,False,False,home_win,1994-10-16,1994
-18.0,African Cup of Nations qualification,False,False,home_win,1994-10-16,1994
-122.0,African Cup of Nations qualification,False,False,home_win,1994-10-16,1994
-145.0,Asian Games,True,False,away_win,1994-10-16,1994
65.0,African Cup of Nations qualification,False,False,home_win,1994-10-16,1994
-232.0,Friendly,False,False,away_win,1994-10-19,1994
65.0,Friendly,False,False,home_win,1994-10-19,1994
-367.0,Friendly,False,False,away_win,1994-10-26,1994
264.0,Friendly,False,False,home_win,1994-10-26,1994
72.0,Friendly,False,False,home_win,1994-10-28,1994
-24.0,Friendly,True,False,away_win,1994-10-29,1994
40.0,African Cup of Nations qualification,False,False,home_win,1994-10-30,1994
41.0,Gulf Cup,False,False,home_win,1994-11-03,1994
-179.0,Gulf Cup,True,False,home_win,1994-11-04,1994
146.0,Friendly,False,False,draw,1994-11-06,1994
-142.0,Gulf Cup,False,False,draw,1994-11-06,1994
57.0,Gulf Cup,True,False,home_win,1994-11-07,1994
-90.0,Friendly,False,False,draw,1994-11-07,1994
-108.0,Friendly,False,False,home_win,1994-11-08,1994
-16.0,Gulf Cup,False,False,home_win,1994-11-09,1994
305.0,Gulf Cup,True,False,home_win,1994-11-10,1994
225.0,African Cup of Nations qualification,False,False,home_win,1994-11-11,1994
-187.0,African Cup of Nations qualification,False,False,draw,1994-11-11,1994
-183.0,Gulf Cup,True,False,away_win,1994-11-12,1994
159.0,UEFA Euro qualification,False,False,home_win,1994-11-12,1994
-63.0,African Cup of Nations qualification,False,False,home_win,1994-11-12,1994
-205.0,African Cup of Nations qualification,False,False,draw,1994-11-12,1994
163.0,Gulf Cup,False,False,draw,1994-11-12,1994
-75.0,African Cup of Nations qualification,False,False,home_win,1994-11-13,1994
192.0,African Cup of Nations qualification,False,False,home_win,1994-11-13,1994
