date,year,home_team,away_team,home_team_clean,away_team_clean,home_score,away_score,match_result,tournament,city,country,neutral,is_world_cup,home_elo,away_elo,elo_diff,goal_diff,abs_goal_diff,total_goals,home_elo_last_5,away_elo_last_5,elo_last_5_diff,home_goal_difference_last_5,away_goal_difference_last_5,goal_difference_last_5_diff
2026-07-05,2026,Mexico,England,Mexico,England,2,3,away_win,FIFA World Cup,Mexico City,Mexico,False,True,1835.0,2042.0,-207.0,-1,1,5,1835.0,2042.0,-207.0,2.4,1.6,0.7999999999999998
2026-07-06,2026,Portugal,Spain,Portugal,Spain,0,1,away_win,FIFA World Cup,Dallas,United States,True,True,1976.0,2171.0,-195.0,-1,1,1,1976.0,2171.0,-195.0,1.4,2.0,-0.6000000000000001
2026-07-06,2026,United States,Belgium,United States,Belgium,1,4,away_win,FIFA World Cup,Seattle,United States,False,True,1747.0,1849.0,-102.0,-3,3,5,1747.0,1849.0,-102.0,1.0,2.0,-1.0
2026-07-07,2026,Argentina,Egypt,Argentina,Egypt,3,2,home_win,FIFA World Cup,Atlanta,United States,True,True,2113.0,1591.0,522.0,1,1,5,2113.0,1591.0,522.0,2.2,0.2,2.0
2026-07-07,2026,Switzerland,Colombia,Switzerland,Colombia,0,0,draw,FIFA World Cup,Vancouver,Canada,True,True,1897.0,1998.0,-101.0,0,0,0,1897.0,1998.0,-101.0,1.2,1.2,0.0
2026-07-09,2026,France,Morocco,France,Morocco,2,0,home_win,FIFA World Cup,Foxborough,United States,True,True,2062.0,1830.0,232.0,2,2,2,2062.0,1830.0,232.0,2.4,1.2,1.2
2026-07-10,2026,Spain,Belgium,Spain,Belgium,2,1,home_win,FIFA World Cup,Inglewood,United States,True,True,2171.0,1849.0,322.0,1,1,3,2171.0,1849.0,322.0,1.8,1.6,0.19999999999999996
2026-07-11,2026,Norway,England,Norway,England,1,2,away_win,FIFA World Cup,Miami Gardens,United States,True,True,1922.0,2042.0,-120.0,-1,1,3,1922.0,2042.0,-120.0,0.6,1.2,-0.6
2026-07-11,2026,Argentina,Switzerland,Argentina,Switzerland,3,1,home_win,FIFA World Cup,Kansas City,United States,True,True,2113.0,1897.0,216.0,2,2,4,2113.0,1897.0,216.0,1.8,1.2,0.6000000000000001
2026-07-14,2026,France,Spain,France,Spain,0,2,away_win,FIFA World Cup,Arlington,United States,True,True,2062.0,2171.0,-109.0,-2,2,2,2062.0,2171.0,-109.0,2.4,2.0,0.3999999999999999
2026-07-15,2026,England,Argentina,England,Argentina,1,2,away_win,FIFA World Cup,Atlanta,United States,True,True,2042.0,2113.0,-71.0,-1,1,3,2042.0,2113.0,-71.0,1.0,1.6,-0.6000000000000001
