home_elo,away_elo,elo_diff,points_last_5_diff,goal_difference_last_5_diff,knockout_stage
2013.0,1935.0,78.0,0.6000000000000001,-0.19999999999999996,0
1965.0,1717.0,248.0,0.8,2.0,0
1888.0,1657.0,231.0,-1.5999999999999999,-1.2,0
1679.0,1716.0,-37.0,0.6000000000000001,0.8,0
2016.0,1565.0,451.0,2.2,2.8,0
2019.0,1878.0,141.0,0.3999999999999999,0.0,0
1815.0,1678.0,137.0,1.6,1.4000000000000001,0
1707.0,1829.0,-122.0,0.0,-0.6000000000000001,0
1740.0,1755.0,-15.0,0.0,0.0,0
1693.0,1798.0,-105.0,-0.19999999999999996,0.0,0
2011.0,1759.0,252.0,-0.19999999999999996,-0.2,0
1621.0,1838.0,-217.0,-1.4,-1.2000000000000002,0
1858.0,2112.0,-254.0,1.6,1.2,0
1700.0,1872.0,-172.0,0.19999999999999996,-1.7999999999999998,0
1663.0,1876.0,-213.0,-0.8,-3.6,0
1540.0,1792.0,-252.0,0.6000000000000001,0.2,0
1888.0,2013.0,-125.0,-0.40000000000000013,-0.2,0
1679.0,1965.0,-286.0,0.6000000000000001,-0.40000000000000013,0
1716.0,1717.0,-1.0,0.3999999999999999,1.0,0
1657.0,1935.0,-278.0,0.0,-0.4,0
1740.0,2016.0,-276.0,-1.8,-2.6,0
1678.0,1878.0,-200.0,-1.2,-1.4,0
1815.0,2019.0,-204.0,1.6,0.8,0
1755.0,1565.0,190.0,0.8,1.8,0
1838.0,1829.0,9.0,0.6000000000000001,0.2,0
1707.0,1621.0,86.0,0.7999999999999999,0.4,0
1693.0,2011.0,-318.0,0.20000000000000018,0.4,0
1759.0,1798.0,-39.0,-1.4,-2.6,0
1858.0,1935.0,-77.0,1.2000000000000002,0.8,1
1876.0,1717.0,159.0,0.6000000000000001,3.2,1
1965.0,1872.0,93.0,0.7999999999999998,1.2000000000000002,1
1888.0,1540.0,348.0,-0.40000000000000013,-0.2,1
1815.0,1798.0,17.0,1.2000000000000002,0.4,1
2016.0,1838.0,178.0,0.7999999999999998,2.1999999999999997,1
1707.0,1755.0,-48.0,0.20000000000000018,-0.4,1
1693.0,2019.0,-326.0,0.6000000000000001,0.4,1
1935.0,2016.0,-81.0,-1.2,-1.9999999999999998,1
1876.0,1798.0,78.0,1.2000000000000002,3.2,1
1693.0,1965.0,-272.0,-0.6000000000000001,-1.4,1
1540.0,1755.0,-215.0,0.8000000000000003,0.39999999999999997,1
1693.0,1876.0,-183.0,-0.3999999999999999,-1.5999999999999999,1
2016.0,1755.0,261.0,1.0,1.4000000000000001,1
1693.0,1755.0,-62.0,-0.3999999999999999,-0.6000000000000001,1
1876.0,2016.0,-140.0,-0.3999999999999999,-1.2000000000000002,1
1837.0,1719.0,118.0,1.0,1.2000000000000002,0
1881.0,1736.0,145.0,1.4,3.4,0
1498.0,1874.0,-376.0,0.0,-0.20000000000000007,0
1968.0,1767.0,201.0,1.8,2.2,0
1917.0,1767.0,150.0,0.0,0.0,0
1549.0,1914.0,-365.0,-1.4000000000000001,-1.8000000000000003,0
1841.0,1804.0,37.0,-0.8,-1.8,0
,1995.0,,0.0,0.2,0
1797.0,1789.0,8.0,1.0,1.0,0
1949.0,1617.0,332.0,0.40000000000000013,0.4,0
1849.0,1964.0,-115.0,-1.2000000000000002,-1.5999999999999999,0
2034.0,1847.0,187.0,1.2000000000000002,2.8000000000000003,0
1955.0,1795.0,160.0,0.3999999999999999,0.20000000000000007,0
1745.0,1582.0,163.0,1.0,1.2,0
1881.0,1837.0,44.0,1.4000000000000001,2.8,0
1961.0,1781.0,180.0,0.0,-1.2,0
1690.0,1595.0,95.0,0.4,0.6000000000000001,0
1874.0,1767.0,107.0,-0.19999999999999996,-0.39999999999999997,0
1968.0,1498.0,470.0,2.6,3.4000000000000004,0
1719.0,1736.0,-17.0,0.8,1.8,0
1917.0,,,0.40000000000000013,0.8,0
1841.0,1549.0,292.0,0.6000000000000001,0.0,0
1995.0,1767.0,228.0,1.6,0.6000000000000001,0
1964.0,1617.0,347.0,1.2000000000000002,1.4,0
1949.0,1849.0,100.0,0.40000000000000013,1.2,0
1914.0,1804.0,110.0,0.6000000000000001,0.8,0
2034.0,1797.0,237.0,0.3999999999999999,2.0,0
1955.0,1745.0,210.0,0.3999999999999999,0.6000000000000001,0
1789.0,1847.0,-58.0,0.19999999999999996,-0.4,0
1961.0,1690.0,271.0,1.4000000000000001,1.2000000000000002,0
1582.0,1795.0,-213.0,-1.2000000000000002,-1.8,0
1595.0,1781.0,-186.0,-1.2,-1.7999999999999998,0
1874.0,1968.0,-94.0,-1.8,-2.8,0
1767.0,1498.0,269.0,0.8,1.4000000000000001,0
1736.0,1837.0,-101.0,-1.2,-2.6,0
1881.0,1719.0,162.0,1.2000000000000002,2.0,0
1804.0,1549.0,255.0,0.5999999999999999,0.4,0
1767.0,,,0.19999999999999996,1.8,0
1995.0,1917.0,78.0,0.20000000000000018,-1.4000000000000001,0
1914.0,1841.0,73.0,1.6,2.1999999999999997,0
1847.0,1797.0,50.0,-1.6,-1.2,0
1964.0,1949.0,15.0,0.5999999999999999,0.3999999999999999,0
1617.0,1849.0,-232.0,0.6000000000000001,1.2,0
1789.0,2034.0,-245.0,-1.8,-3.4000000000000004,0
1795.0,1745.0,50.0,0.19999999999999996,0.8,0
1595.0,1961.0,-366.0,-1.8,-3.0,0
1781.0,1690.0,91.0,1.0,1.2,0
1582.0,1955.0,-373.0,-1.6,-1.8,0
1917.0,1841.0,76.0,1.2,1.8,1
1881.0,1874.0,7.0,1.2000000000000002,1.6,1
1968.0,1719.0,249.0,1.2000000000000002,2.0,1
1914.0,1995.0,-81.0,0.7999999999999998,1.4,1
1949.0,1797.0,152.0,0.19999999999999996,0.4,1
1795.0,1781.0,14.0,-0.19999999999999973,0.0,1
2034.0,1617.0,417.0,0.6000000000000001,1.0000000000000002,1
1961.0,1955.0,6.0,0.7999999999999998,0.8,1
1881.0,1917.0,-36.0,0.3999999999999999,0.20000000000000018,1
1949.0,1781.0,168.0,0.20000000000000018,0.19999999999999996,1
2034.0,1955.0,79.0,0.7999999999999998,1.4000000000000001,1
1968.0,1914.0,54.0,-0.3999999999999999,0.3999999999999999,1
1881.0,1949.0,-68.0,0.0,0.0,1
1914.0,1955.0,-41.0,0.3999999999999999,0.0,1
1881.0,1914.0,-33.0,0.0,0.20000000000000007,1
1949.0,1955.0,-6.0,0.0,0.40000000000000013,1
1579.0,1850.0,-271.0,0.8,1.6,0
1808.0,2004.0,-196.0,1.0,1.4,0
1975.0,1865.0,110.0,0.5999999999999999,1.2,0
1689.0,1769.0,-80.0,0.8,1.4,0
1968.0,1735.0,233.0,0.7999999999999998,1.2,0
1979.0,1744.0,235.0,0.0,1.2,0
1768.0,1700.0,68.0,0.8,1.7999999999999998,0
1399.0,1594.0,-195.0,-1.7999999999999998,-3.6,0
1749.0,1768.0,-19.0,0.0,-0.6,0
2024.0,1818.0,206.0,1.4000000000000001,1.8,0
2008.0,1849.0,159.0,-0.40000000000000013,-0.4,0
